Unnamed: 0,geometry,name,place_id,rating,types,vicinity,cords,reviewers
0,"{'location': {'lat': 41.8976265, 'lng': 12.5136907}, 'viewport': {'northeast': {'lat': 41.89897632989272, 'lng': 12.51504052989272}, 'southwest': {'lat': 41.89627667010727, 'lng': 12.51234087010728}}}","I Fratelli, Ristorante Pizzeria",ChIJ_1GnyZthLxMRzVE1g0dxmNQ,4.4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Umbri, 14, Roma","41.897627,12.513691","['jon', 'hinton', 'Ashish', 'Gaur', 'Ashwath', 'Narayan', 'Alexandra', 'Lee', 'Shawn', 'Workman']"
1,"{'location': {'lat': 41.8904183, 'lng': 12.503342}, 'viewport': {'northeast': {'lat': 41.89172147989272, 'lng': 12.50471937989272}, 'southwest': {'lat': 41.88902182010727, 'lng': 12.50201972010728}}}",Ristorante Pizzeria Galilei,ChIJocdcj75hLxMRkq0Ji2C-wWo,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Galilei, 12, Roma","41.890418,12.503342","['Adam', 'Cattle', 'Orla', 'K', 'Renan', 'Andrade', 'Dominic', 'Filocha', 'Ryan', 'St.', 'Peters']"
2,"{'location': {'lat': 41.8992909, 'lng': 12.4997114}, 'viewport': {'northeast': {'lat': 41.90067532989272, 'lng': 12.50100537989272}, 'southwest': {'lat': 41.89797567010728, 'lng': 12.49830572010728}}}",Ristorante Pizzeria il Secchio,ChIJK4lvaKRhLxMRiowZSZjM-Pg,3.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Daniele Manin, 30/40, Roma","41.899291,12.499711","['Joaquin', 'Schouten', 'Nilesh', 'Dodiyar', 'Abdulrahman', 'Alsaad', 'Meg', 'Wiebe', 'Shaw', 'Toby', 'Findlay']"
3,"{'location': {'lat': 41.89478889999999, 'lng': 12.5012358}, 'viewport': {'northeast': {'lat': 41.89621377989272, 'lng': 12.50259537989272}, 'southwest': {'lat': 41.89351412010728, 'lng': 12.49989572010728}}}",Ristorante Pizzeria Ponzi Roma,ChIJlcKpYLthLxMR0pMbEpLHd9g,3.9,"['bakery', 'bar', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']","48, Via dello Statuto, Roma","41.894789,12.501236","['Dmitry', 'Budnikov', 'Lyudmila', 'Dulenko', 'Diana', 'Murdock', 'Sophie', 'Vanderspar', 'vuhongviet', 'vu']"
4,"{'location': {'lat': 41.8932739, 'lng': 12.5158689}, 'viewport': {'northeast': {'lat': 41.89460127989272, 'lng': 12.51726422989272}, 'southwest': {'lat': 41.89190162010728, 'lng': 12.51456457010728}}}",Pinsa e Buoi dei...,ChIJl3KQXZBhLxMRREgIYaAhC28,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale dello Scalo S. Lorenzo, 15/17, Roma","41.893274,12.515869","['Giovanni', 'Perciaccante', 'Cecelia', 'Nehme', 'charles', 'nehme', 'JJ', 'McKay', 'Robyn']"
5,"{'location': {'lat': 41.8862406, 'lng': 12.5171426}, 'viewport': {'northeast': {'lat': 41.88759202989273, 'lng': 12.51852372989272}, 'southwest': {'lat': 41.88489237010728, 'lng': 12.51582407010728}}}",Al Grottino,ChIJPdFkjZJhLxMRFEVDscnvfZk,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Orvieto, 6, Roma","41.886241,12.517143","['John', 'T', 'Felicia', 'Juvină', 'Fernanda', 'Bertoche', 'Nikoleta', 'Antonova', 'Damian', 'Boyle']"
6,"{'location': {'lat': 41.9005571, 'lng': 12.5136943}, 'viewport': {'northeast': {'lat': 41.90186397989272, 'lng': 12.51500057989272}, 'southwest': {'lat': 41.89916432010728, 'lng': 12.51230092010728}}}",Pizzeria la Casetta,ChIJ5VR9EZxhLxMRMD5VMROI_zw,4.2,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Marrucini, 52, Roma","41.900557,12.513694","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
7,"{'location': {'lat': 41.8916802, 'lng': 12.5138693}, 'viewport': {'northeast': {'lat': 41.89302667989272, 'lng': 12.51530227989272}, 'southwest': {'lat': 41.89032702010728, 'lng': 12.51260262010728}}}",Trattoria Pizzeria Porta Maggiore di Tonino Natalucci C. S. A. S.,ChIJt-dUPpFhLxMRSbYRJ5EUPbY,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Piazza di Porta Maggiore, 14, Roma","41.891680,12.513869","['Roger', 'Hardman', 'Renata', 'Frascassi', 'Sead', 'Rozajac', 'Norbert', 'Greiwe', 'Aleks', 'Bloch']"
8,"{'location': {'lat': 41.8997168, 'lng': 12.5170855}, 'viewport': {'northeast': {'lat': 41.90111387989273, 'lng': 12.51838802989272}, 'southwest': {'lat': 41.89841422010728, 'lng': 12.51568837010728}}}",Il Podista,ChIJJRAPopxhLxMRBE5L69vorC0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Tiburtina, 224, Roma","41.899717,12.517086","['Giada', 'Saputo', 'Chew', 'Loay', 'Chang', 'Simas', 'Makovskis', 'Sebastian', 'Głodek', 'Diego', 'Soligon']"
9,"{'location': {'lat': 41.9001194, 'lng': 12.5178188}, 'viewport': {'northeast': {'lat': 41.90149647989272, 'lng': 12.51914177989272}, 'southwest': {'lat': 41.89879682010728, 'lng': 12.51644212010728}}}",La Pantera Rosa,ChIJKzIksZxhLxMR5BcoPfRKPXs,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Piazzale del Verano, 84, Roma","41.900119,12.517819","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
10,"{'location': {'lat': 41.8830399, 'lng': 12.5142983}, 'viewport': {'northeast': {'lat': 41.88437137989272, 'lng': 12.51574762989272}, 'southwest': {'lat': 41.88167172010728, 'lng': 12.51304797010728}}}",O' Sole e' Napule - Ristorante Pizzeria,ChIJS9HC8exhLxMR4LdYFZ64XFA,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Aosta, 17, Roma","41.883040,12.514298","['Carmen', 'Elena', 'Arroba', 'Gav', 'Peters', 'Susanna', 'Sodini', 'Bryan', 'Appleman', 'Isabel', 'Amaira']"
11,"{'location': {'lat': 41.89725139999999, 'lng': 12.5156554}, 'viewport': {'northeast': {'lat': 41.89856832989273, 'lng': 12.51703507989272}, 'southwest': {'lat': 41.89586867010728, 'lng': 12.51433542010728}}}",Griglieria Pizzeria Porca Vacca Roma - Cucina Romana,ChIJ674QAZthLxMRKtaNTQVcGxA,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Sabelli, 101, Roma","41.897251,12.515655","['Linh', 'Trang', 'Nguyễn', 'Richard', 'Smith', 'marco', 'wannenmacher', 'Modar', 'Kasoaa', 'Momo', 'Lala']"
12,"{'location': {'lat': 41.8950848, 'lng': 12.5154863}, 'viewport': {'northeast': {'lat': 41.89641757989271, 'lng': 12.51683102989272}, 'southwest': {'lat': 41.89371792010727, 'lng': 12.51413137010728}}}",Un Punto Macrobiotico,ChIJG5PChpphLxMRAxy6Y3XQtNw,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Campani, 65/67, Roma","41.895085,12.515486","['Fabio', 'Borghesi', 'atto', 'nomade', 'marzia', 'ercolani', 'Antonella', 'Flaminio', 'luca', 'james', 'senatore', 'Sandra', 'Di', 'Ferdinando']"
13,"{'location': {'lat': 41.8969736, 'lng': 12.5126714}, 'viewport': {'northeast': {'lat': 41.89830292989272, 'lng': 12.51398052989272}, 'southwest': {'lat': 41.89560327010728, 'lng': 12.51128087010728}}}",Pizzeria Formula 1,ChIJu5Bmh5lhLxMR_x41Hcxx-tI,4.2,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Equi, 13, Roma","41.896974,12.512671","['Henrik', 'Stig', 'Møller', 'Sergio', 'Mora', 'Giacomo', 'Grisanzio', 'Robert', 'McConnell', 'Víctor', 'Fuentes']"
14,"{'location': {'lat': 41.8872193, 'lng': 12.5105631}, 'viewport': {'northeast': {'lat': 41.88853632989272, 'lng': 12.51192857989272}, 'southwest': {'lat': 41.88583667010728, 'lng': 12.50922892010728}}}",Trattoria Da Mario,ChIJDWXq75RhLxMRxogz3GJMgQU,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale Carlo Felice, 59, Roma","41.887219,12.510563","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
15,"{'location': {'lat': 41.8937182, 'lng': 12.5023942}, 'viewport': {'northeast': {'lat': 41.89504137989272, 'lng': 12.50372842989272}, 'southwest': {'lat': 41.89234172010728, 'lng': 12.50102877010728}}}",Vecchia Roma,ChIJ_Zz0irxhLxMRCndXjNM_F9s,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Ferruccio, 12/b/c, Roma","41.893718,12.502394","['Dubian', 'Guerrero', 'Marina', 'Smirnova', 'Dubian', 'Guerrero', 'Islia', 'Jovel', 'Chris', 'La']"
16,"{'location': {'lat': 41.894116, 'lng': 12.510373}, 'viewport': {'northeast': {'lat': 41.89541797989273, 'lng': 12.51183067989272}, 'southwest': {'lat': 41.89271832010729, 'lng': 12.50913102010728}}}",Il Tempio di Minerva,ChIJFVk8bZdhLxMRfwWBcuL0e2I,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale Manzoni, 64-68, Roma","41.894116,12.510373","['emulintu', 'louise', 'Billingham', 'barbara', 'mangiola', 'kevin', 'minett', 'svmxn']"
17,"{'location': {'lat': 41.8954285, 'lng': 12.4984459}, 'viewport': {'northeast': {'lat': 41.89682982989272, 'lng': 12.49976322989272}, 'southwest': {'lat': 41.89413017010728, 'lng': 12.49706357010728}}}",Il Brigantino,ChIJiebsILthLxMR0Y3wqy2Rc60,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via di S. Martino Ai Monti, 50, Roma","41.895429,12.498446","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
18,"{'location': {'lat': 41.8982936, 'lng': 12.517244}, 'viewport': {'northeast': {'lat': 41.89960952989272, 'lng': 12.51853017989272}, 'southwest': {'lat': 41.89690987010728, 'lng': 12.51583052010728}}}",Pizzeria Ennio&Osvaldo Roma,ChIJ_2zHaZthLxMRG8xLLmPl4cI,4.7,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Ausoni, 25, Roma","41.898294,12.517244","['Diana', 'capatina', 'Dario', 'Bazzanella', 'Carlo', 'Aniasi', 'Mario', 'Mannarino', 'Simone', 'Palmieri']"
19,"{'location': {'lat': 41.896813, 'lng': 12.514472}, 'viewport': {'northeast': {'lat': 41.89815817989273, 'lng': 12.51581957989272}, 'southwest': {'lat': 41.89545852010728, 'lng': 12.51311992010728}}}","Pizzeria -paninoteca-cocktail bar""La Piazzetta San Lorenzo"" (al campanile)",ChIJOzyDSZphLxMRQuVUnB7Sfbc,4.1,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Largo degli Osci, 15-19, Roma","41.896813,12.514472","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
20,"{'location': {'lat': 41.8957577, 'lng': 12.5130915}, 'viewport': {'northeast': {'lat': 41.89713222989272, 'lng': 12.51441852989272}, 'southwest': {'lat': 41.89443257010728, 'lng': 12.51171887010728}}}",Mamaró,ChIJS3yVG5phLxMRjYEPpYAantE,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Sabelli, 26A, Roma","41.895758,12.513091","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
21,"{'location': {'lat': 41.895997, 'lng': 12.513825}, 'viewport': {'northeast': {'lat': 41.89727647989272, 'lng': 12.51524062989272}, 'southwest': {'lat': 41.89457682010727, 'lng': 12.51254097010728}}}",Farinè la pizza,ChIJt6jWB5phLxMRfBSwboqiB6M,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Aurunci, 6, Roma","41.895997,12.513825","['Samby', 'F', 'mpmp', 'Gregor', 'Valentan', 'Tony', 'Benson', 'Kieran', 'McGlynn']"
22,"{'location': {'lat': 41.8990496, 'lng': 12.5018191}, 'viewport': {'northeast': {'lat': 41.90032107989273, 'lng': 12.50308667989272}, 'southwest': {'lat': 41.89762142010728, 'lng': 12.50038702010728}}}",Ristorante Pizzeria al Nuovo Fagianetto,ChIJ9e_7eqNhLxMRjq4_Uj6yA-4,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Filippo Turati, 21, Roma","41.899050,12.501819","['A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User', 'A', 'Google', 'User']"
23,"{'location': {'lat': 41.8974318, 'lng': 12.5128404}, 'viewport': {'northeast': {'lat': 41.89884527989273, 'lng': 12.51413097989272}, 'southwest': {'lat': 41.89614562010728, 'lng': 12.51143132010728}}}",Pizzeria L'economica,ChIJbXAvxJthLxMRVHtdxPpndUY,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Tiburtina, 46, Roma","41.897432,12.512840","['jon', 'hinton', 'Martin', 'Onton', 'Matthias', 'Renard', 'dor', 'dafna', 'TOMMY', 'TONG']"
24,"{'location': {'lat': 41.8924585, 'lng': 12.501537}, 'viewport': {'northeast': {'lat': 41.89382657989272, 'lng': 12.50294662989272}, 'southwest': {'lat': 41.89112692010728, 'lng': 12.50024697010728}}}",La Cuccuma,ChIJ8_g-c7xhLxMRgjw789mBPXY,4.1,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Merulana, 221, Roma","41.892458,12.501537","['Eunice', 'Law', 'John', 'van', 'den', 'Bungelaar', 'Sam', 'Guerrero', 'Renatas', 'Stankevičius', 'Sabi', 'Koz']"
25,"{'location': {'lat': 41.8984672, 'lng': 12.518126}, 'viewport': {'northeast': {'lat': 41.89983427989272, 'lng': 12.51945962989272}, 'southwest': {'lat': 41.89713462010727, 'lng': 12.51675997010728}}}",I Fiori Di Zucca Roma,ChIJO_GcR5thLxMRueHA6nLElx4,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Sabelli, 90-106, Roma","41.898467,12.518126","['Adriana', 'Ignat', 'chocky', 'dog', 'Kasper', 'Ingdahl', 'Andkjær', 'Angelo', 'Laca', 'Giuliano', 'Quattrini']"
26,"{'location': {'lat': 41.8990749, 'lng': 12.4997539}, 'viewport': {'northeast': {'lat': 41.90045257989273, 'lng': 12.50113552989272}, 'southwest': {'lat': 41.89775292010728, 'lng': 12.49843587010728}}}",Aquila Nera,ChIJTX4VZ6RhLxMROSNzGfoX0_s,4.1,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Principe Amedeo, 51, Roma","41.899075,12.499754","['Deborah', 'Murray', 'Bosse', 'Eklund', 'jim', 'basiji', 'Daniel', 'Wong', 'Micha', 'Gijsbers']"
27,"{'location': {'lat': 41.896276, 'lng': 12.514359}, 'viewport': {'northeast': {'lat': 41.89759717989273, 'lng': 12.51565427989272}, 'southwest': {'lat': 41.89489752010729, 'lng': 12.51295462010728}}}",Sanlollo,ChIJueHdPpphLxMRbewwEkyqYAM,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Latini, 57, Roma","41.896276,12.514359","['Phusathi', 'Liyanaarachchi', 'Iknam', 'Bath', 'Richard', 'Maguire', 'Daniel', 'Pittner', 'María', 'Paulina']"
28,"{'location': {'lat': 41.8957905, 'lng': 12.5135435}, 'viewport': {'northeast': {'lat': 41.89716242989272, 'lng': 12.51493582989272}, 'southwest': {'lat': 41.89446277010727, 'lng': 12.51223617010728}}}",La Mucca Bischera,ChIJFVIaFJphLxMRaRzHdYnrzmQ,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Equi, 56, Roma","41.895790,12.513544","['Louise', 'Morris', 'Jan', 'Breznar', 'Darcy', 'Norrish', 'Veselina', 'Makedonska', 'Michaela', 'Zubrová']"
29,"{'location': {'lat': 41.8962674, 'lng': 12.5133822}, 'viewport': {'northeast': {'lat': 41.89758777989272, 'lng': 12.51467747989272}, 'southwest': {'lat': 41.89488812010728, 'lng': 12.51197782010728}}}",Il Mattarello d'Oro,ChIJo0diIpphLxMRWFPM-LupNkY,4.4,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via degli Equi, 41/A-43, Roma","41.896267,12.513382","['kenneth', 'koh', 'Zailong', 'Ren', 'Joanna', 'Dziedzic', 'טילו', 'יגודייב', 'zaher', 'hossain']"
