locs,cods
Rome,"41.89193,12.51133"
Milan,"45.46427,9.18951"
Naples,"40.85216,14.26811"
Turin,"45.07049,7.68682"
Palermo,"38.13205,13.33561"
Genoa,"44.40478,8.94439"
Bologna,"44.49381,11.33875"
Florence,"43.77925,11.24626"
Bari,"41.11148,16.8554"
Catania,"37.49223,15.07041"
Venice,"45.43713,12.33265"
Verona,"45.4299,10.98444"
Messina,"38.19394,15.55256"
Padua,"45.40797,11.88586"
Trieste,"45.64953,13.77678"
Taranto,"40.46438,17.24707"
Brescia,"45.53558,10.21472"
Parma,"44.79935,10.32618"
Prato,"43.8805,11.09699"
Modena,"44.64783,10.92539"
Reggio Calabria,"38.11047,15.66129"
Reggio Emilia,"44.69825,10.63125"
Perugia,"43.1122,12.38878"
Ravenna,"44.41344,12.20121"
Livorno,"43.54427,10.32615"
Cagliari,"39.23054,9.11917"
Foggia,"41.45845,15.55188"
Rimini,"44.05755,12.56528"
Salerno,"40.67545,14.79328"
Ferrara,"44.83333,11.61667"
Sassari,"40.72586,8.55552"
Latina,"41.46614,12.9043"
Giugliano in Campania,"40.92849,14.20197"
Monza,"45.58005,9.27246"
Syracuse,"43.04812,-76.14742"
Bergamo,"45.69601,9.66721"
Pescara,"42.4584,14.20283"
Trento,"46.06787,11.12108"
Forlì,"44.22177,12.04144"
Vicenza,"45.54672,11.5475"
Terni,"42.56335,12.64329"
Bolzano,"46.49067,11.33982"
Novara,"45.44694,8.62118"
Piacenza,"45.05242,9.69342"
Ancona,"43.5942,13.50337"
Andria,"41.23117,16.29797"
Udine,"46.0693,13.23715"
Arezzo,"43.46276,11.88068"
Cesena,"44.1391,12.24315"
Lecce,"40.35481,18.17244"
Pesaro,"43.90921,12.9164"
Barletta,"41.31429,16.28165"
Alessandria,"31.20176,29.91582"
La Spezia,"44.103,9.82375"
Pistoia,"43.93064,10.92365"
Pisa,"43.70853,10.4036"
Catanzaro,"38.88247,16.60086"
Guidonia Montecelio,"41.99362,12.72238"
Lucca,"43.84369,10.50447"
Brindisi,"40.63215,17.93607"
Torre del Greco,"40.78931,14.36806"
Treviso,"45.66673,12.2416"
Busto Arsizio,"45.61128,8.84914"
Como,"45.80819,9.0832"
Marsala,"33.88333,-34.28333"
Grosseto,"42.75975,11.0719"
Sesto San Giovanni,"45.53329,9.22585"
Pozzuoli,"40.84394,14.0952"
Varese,"45.82058,8.82511"
Fiumicino,"41.77093,12.23662"
Casoria,"40.90751,14.293"
Asti,"44.90162,8.20751"
Cinisello Balsamo,"45.55823,9.21495"
Caserta,"41.07262,14.33231"
Gela,"37.07381,14.24038"
Aprilia,"41.59452,12.65419"
Ragusa,"36.92574,14.72443"
Pavia,"45.19205,9.15917"
Cremona,"45.13325,10.02129"
Carpi,"44.78237,10.8777"
Quartu Sant'Elena,"39.22935,9.25004"
Lamezia Terme,"38.96255,16.30938"
Altamura,"40.82664,16.54952"
Imola,"44.35916,11.7132"
L’Aquila,"42.35055,13.39954"
Massa,"44.03541,10.13927"
Trapani,"38.0176,12.53617"
Viterbo,"42.41937,12.1056"
Cosenza,"39.2989,16.25307"
Potenza,"40.64175,15.80794"
Castellammare di Stabia,"40.70211,14.48685"
Afragola,"40.92298,14.30935"
Vittoria,"36.95151,14.52788"
Crotone,"39.08077,17.12764"
Pomezia,"41.66931,12.50124"
Vigevano,"45.31407,8.85437"
Carrara,"44.07926,10.09789"
Caltanissetta,"37.49025,14.06216"
Viareggio,"43.86693,10.2502"
Fano,"43.84052,13.01665"
Savona,"44.30905,8.47715"
Matera,"40.66599,16.60463"
Olbia,"40.92337,9.49802"
Legnano,"45.59788,8.91506"
Acerra,"40.94477,14.3714"
Marano di Napoli,"40.8971,14.18824"
Benevento,"41.1307,14.77816"
Molfetta,"41.20036,16.59905"
Agrigento,"37.31065,13.57661"
Faenza,"44.29007,11.87948"
Cerignola,"41.26523,15.89559"
Moncalieri,"44.9994,7.68236"
Foligno,"42.95488,12.70268"
Manfredonia,"41.63065,15.91876"
Tivoli,"41.95952,12.8016"
Cuneo,"44.54702,7.62322"
Trani,"41.27733,16.41011"
Bisceglie,"41.24264,16.50104"
Bitonto,"41.11006,16.69086"
Bagheria,"38.07892,13.51237"
Anzio,"41.45263,12.62157"
Portici,"40.81563,14.33716"
Modica,"36.85868,14.75966"
Sanremo,"43.81725,7.7772"
Avellino,"40.91494,14.79103"
Teramo,"42.66123,13.69901"
Montesilvano,"42.5114,14.14507"
Siena,"43.31822,11.33064"
Gallarate,"45.66019,8.79164"
Velletri,"41.68573,12.77753"
Cava de' Tirreni,"40.69954,14.70773"
San Severo,"41.68564,15.38148"
Aversa,"40.97259,14.20745"
Ercolano,"40.80783,14.35012"
Civitavecchia,"42.09325,11.79674"
Acireale,"37.60886,15.16577"
Mazara del Vallo,"37.65535,12.58986"
Rovigo,"45.06982,11.79022"
Pordenone,"45.95689,12.66051"
Battipaglia,"40.60861,14.98209"
Rho,"45.53245,9.0402"
Chieti,"42.34827,14.16494"
Scafati,"40.7602,14.53723"
Scandicci,"43.75423,11.18794"
